word,explanation,example_sentence
cake,"〈U〉〈C〉ケーキ,洋菓子  / 〈C〉平たい焼きパン(パンケーキなど)  / 〈C〉一定の形の塊にした食物  / 〈C〉(…の)ケーキ状の塊《+of+名》",I bought a cake for my friend's birthday.
call,"〈他〉を呼ぶ / 〈人〉に電話をかける / 〈自〉《...を》訪問する《on, at ...》",I'm going to make a call to my friend.
camera,"カメラ,写真機  / テレビ[用]カメラ",I bought a new camera yesterday.
camp,"〈Ｃ〉(軍隊・登山隊・探検隊などの) 野営地 / 〈Ｃ〉〈U〉野営のテント / 〈U〉野営,キャンプ",The children went to the camp for the summer holidays.
can,"《能力》...することができる / 《話》《許可・軽い命令》…してもよい; 《疑問文で》…してくれませんか / 《平叙文で》《可能性・推量》…であり得る, ...しうる / 《否定文で》…のはずがない,ではあり得ない / 《疑問文で》いったい…だろうか",I can swim.
candy,"《米》砂糖菓子,キャンデー(《英》sweets)  / 《英》氷砂糖(sugar candy)",I bought some candy at the store.
cap,"(縁のない)帽子,制帽  / (形・用途が)帽子に似たもの;万年筆のキャップ,時計の中ぶた,びんのふた,キノコのかさなど  / (銃弾の)雷管;おもちゃのピストル玉  / 頂上,最高",He was wearing a red cap.
car,"自動車(automobile)電車(streetcar)  / 《米》(鉄道の)車両;客車,貨車  / (気球などの)かご;(エレベーターの)箱",I bought a new car.
card,"〈C〉カード / 招待状, 名刺, 入場券 / 《話》おもしろい人 / 《米話》(スポーツ試合などの)好い組み合わせ",I received a birthday card from my friend.
care,"気にする,心配する,関心がある  / …したいと思う,欲する,好む",When he lost his watch he didn't seem to care.
careful,"(人が)注意深い, 気をつけている / 《…を》たいせつにしている, 気にかけている《of ...》 / (仕事などが) 入念な, 綿密な",Be careful with the glass.
carefully,"注意深く,気をつけて",He opened the door carefully.
carry,"〈他〉を運ぶ / 《...が身につけて》…を持ち歩く《about, with, on ...》, 〜を取り扱っている、〜を売っている / 〈自〉(ある距離まで) 達する, 届く",He carried the heavy box for me.
cartoon,(政治的な)風刺漫画・(モザイク・壁掛け・壁画などの)実物大の下絵・ / (一続きの)漫画・…'を'漫画化する・(1 枚の時事)風刺漫画・アニメ映画，動画（animated cartoon）・(新聞などの)続き漫画・(壁画などの)実物大下絵・漫画を描く,I watched a cartoon on TV last night.
case,"〈C〉《...の》実例, 事例 《of ...》 / 《the ~》実情 / 〈C/U〉場合 / 〈C〉訴訟事件, 判例","In this case, you should consult a lawyer."
cat,"猫;(ライオン,トラ,ヒョウなどの)ネコ科の動物",The cat is sleeping in the bed.
catch,"捕まえること,捕獲 / がっちり捕らえて動かなくする物, (戸の)掛け金, (機械の)歯止め / 捕らえた物, 捕獲量,(特に)漁獲高 / 手に入れる価値のある人(物),(特に)いい結婚相手 / キャッチボール / (声・息の一時的な)途切れ / 《話》(人を引っ掛ける)わな,策略",He made a great catch in the baseball game.
catch,…を捕らえる / 〈動いている物〉をつかみ取る / 〈列車など〉に間に合う/ 〈伝染性の病気〉にかかる / 《副詞[句]を伴って》引っかかる,I catch the ball.
CD,（音楽を聴くためなどに使う）コンパクトディスク,I bought a new CD yesterday.
CD player,（音楽を聴くための）CDプレーヤー,I bought a new CD player for my car.
celebrate,"(儀式・祝典などを行って)…'を'祝う  / 〈人・行為など〉'を'世に知らせて賞賛する  / 〈儀式・結婚式など〉'を'挙行する,執り行う  / ミサを行う  / 《話》浮かれ騒ぐ",We will celebrate our success!
celebration,"祝賀,祝典(儀式)の挙行;〈C〉祝典,祭典,祝賀会",The party was a celebration of their success.
chair,"〈C〉いす(通例1人用の4脚で背のあるもの;armchair, easy chair, rocking chair, swivel chairも含めていう) / 《the chair》権威のある座(教授・裁伴官・司教・知事・市長などの地位)  / 《the chair》議長(chairperson)  / 《the chair》《米》(死刑用の)電気いす",I sat on the chair.
change,"〈C〉《…の》変化,移り変わり,変遷《of ...》 / 〈C〉《…の》取り替え,交換;乗り換え《of ...》 / 〈U〉釣り銭,小銭",The change in weather is noticeable.
change,"《…に》…を変える,改める《into ...》 / …を取り替える,を交換する / 〈小切手・為替〉を現金にする,〈金〉を両替えする, 《…に》…を両替する《into ...》 / 《…に》変わる,変化する《to, into ...》 / (他の衣服に)着替える《into ...》 / 《…に》乗り換える《to ...》",I need to change my clothes before we go out.
character,"〈U〉〈C〉(人の)性格, 人格 / 〈C〉(物事が持っている)特質,特性 / (小説・劇などの)登場人物 / (意味を表す)文字,記号,字体",He has a strong character.
check,"〈C〉《...の》 阻止 《to ...》 / (確認のための)照合, 検査 / 小切手",I will do a check to make sure everything is okay.
cheese,チーズ,I love cheese!
chicken,"〈C〉ひよこ,(一般に)ひな鳥  / 〈C〉《米》(一般に)鶏《英》fowl)  / 〈U〉ひな鳥の肉,鶏肉  / 〈C〉《米話》青二才;小娘  / 〈C〉《俗》おくびょう者  / 鶏肉の  / 小さい  / 《俗》おくびょうな",I ate chicken for dinner.
child,"(おとなに対して)子供,幼児,児童;(小学・中学・高校の)児童  / (親に対して)子,子孫;息子,娘  / (ある環鏡・時代の)影響を受けて生まれた人,(…の)申し子《+of+名》  / (頭脳・空想などが)産み出したものの,所産《+of+名》",The mother held her child in her arms.
chocolate,"〈U〉〈C〉チョコレート;《複数形で》チョコレート菓子  / 〈U〉チョコレート飲料  / 〈U〉チョコレート色  / チョコレート製の,チョコレト入りの  / チョコレート色の",I love eating chocolate.
choose,"(多数の中から)〈人・物〉'を'選択する,選ぶ  / 〈事〉‘に'決める  / (…の中から)選択をする,選ぶ《~between(from)+名》  / 欲する,望む",I chose the red one.
church,"〈C〉(特に,キリスト数の)教会,教会堂  / 〈U〉(教会で行う)礼拝  / 〈U〉《しばしばC-》教派  / 《the ~》全キリスト教徒  / 《the ~,the C-》聖職,牧師の職  / 《集合的に》(同じ建物で礼拝する,または会衆(congregation)を構成する)キリスト教徒たち",The church was filled with people.
cinema,〈C〉映画館 / 《the ~》映画産業 / 《集合的に》映画,I'm going to the cinema tonight.
circle,"円  / (劇場などの)半円形のさじき  / (…の)円形のもの《+of+名》  / (活動・勢力などの)範囲  / 《時に複数形で》(共通の利害・活動などで結ばれた)仲間,団体,…界  / 一巡;循環",The moon is a perfect circle.
city,"〈C〉(特に行政権を持っている)都市, 都会 / 《米》市 / 《集合的に》都市の全市民,",I live in a big city.
class,"〈C〉(何らかの類似性を持つ)種類 / クラス / 〈U/C〉(クラス単位の)授業, 授業時間 / 〈C〉階級 / 等級",I'm in the same class as my brother.
classmate,"級友,同級生",My classmate is very kind.
classroom,"クラスルーム,教室",I am in the classroom.
clean,"汚れのない,清潔な  / 綺麗好きな / 使っていない  / 不純物がはいっていない,純粋な([[pure]])  / 清らかな,潔白な  / ゆがみのない,すっきりした  / 公正な([[fair]]),規則に従った  / 空白の;書き入れてない  / 完全な,全くの  / 鮮やかな,みごとな  / 放射能のない",The house is clean and tidy.
clean,…をきれいにする / …を片付ける / 〈肉・魚・野菜など〉を下ごしらえをする / きれいになる;きれいにする,Please clean your room before you leave.
clever,"リコウな,頭のよい,才気のある,気のきいた  / 器用な,じょうずな(skillful)",He is a clever boy.
climb,〈他〉をよじ登る《up》 / 〈自〉《...に》よじ登る《to ...》 / 上がっている,I will go on a climb tomorrow.
clock,〈C〉置き時計; 掛け時計,I set my alarm clock for 5am.
close,"《...に》(距離・時間・関係が)近い,接近している《to ...》 / 《名詞の前にのみ用いて》親密な,親しい / ぎっしり詰まった,密集した / きめの細かい / 綿密な,厳重な([[strict]])  / 息がつまる,重苦しい([[stuffy]]) / 厳重に隠された,秘密の / ほとんど同等の,匹敵する / 《補語にのみ用いて》(金銭が)乏しい;《…に》けちな([[stingy]])《with ...》 / (音声が)閉鎖音の",The store is close to my house.
close,"…を閉じる,を閉める([[shut]]) / …をふさぐ([[fill]]) / 〈仕事・話など〉を終える,を済ませる / 〈通路・施設など〉を一時的に閉じる / (一つにまとまるように)…をつめる / 〈ドア・目・花などが〉閉じる,閉まる / 〈話・相談・契約などが〉終わる,終了する,〈店などが〉休業する / くっつく,接近する([[come together]])",Please close the door.
closed,"閉まっている, 閉じた / 休業した, 閉店した / 終了した / 非公開の",The door is closed.
cloth,"〈U〉布,生地,織物  / 〈C〉(特定の用途に応じる大きさの)布地;(特に)テーブル掛け(table cloth),ふきん(dishcloth),ぞうきん(duster)  / 〈U〉布表紙,クロース  / 〈U〉ラシャ  / 〈C〉黒の聖服;《文》《the~》聖職",I bought a new cloth for my dress.
clothes,"〈U〉衣服, 着物 / (シーツ・毛布など)寝具,夜具",I bought some new clothes.
cloud,"雲  / (…の)雲状のもの《+of+名》  / (昆虫・鳥・飛行機などの)大群,大集団《+of+名》  / (疑惑・苦悩などの)暗い影《+of+名》  / (鏡・ガラスなどの)くもり",The sky was full of clouds today.
